"","Any","zona","dat","via","pk","nomMun","nomCom","nomDem","F_MORTS","F_FERITS_GREUS","F_FERITS_LLEUS","F_VICTIMES","F_UNITATS_IMPLICADES","F_VIANANTS_IMPLICADES","F_BICICLETES_IMPLICADES","F_CICLOMOTORS_IMPLICADES","F_MOTOCICLETES_IMPLICADES","F_VEH_LLEUGERS_IMPLICADES","F_VEH_PESANTS_IMPLICADES","F_ALTRES_UNIT_IMPLICADES","F_UNIT_DESC_IMPLICADES","C_VELOCITAT_VIA","D_ACC_AMB_FUGA","D_BOIRA","D_CARACT_ENTORN","D_CARRIL_ESPECIAL","D_CIRCULACIO_MESURES_ESP","D_CLIMATOLOGIA","D_FUNC_ESP_VIA","D_GRAVETAT","D_INFLUIT_BOIRA","D_INFLUIT_CARACT_ENTORN","D_INFLUIT_CIRCULACIO","D_INFLUIT_ESTAT_CLIMA","D_INFLUIT_INTEN_VENT","D_INFLUIT_LLUMINOSITAT","D_INFLUIT_MESU_ESP","D_INFLUIT_OBJ_CALCADA","D_INFLUIT_SOLCS_RASES","D_INFLUIT_VISIBILITAT","D_INTER_SECCIO","D_LIMIT_VELOCITAT","D_LLUMINOSITAT","D_REGULACIO_PRIORITAT","D_SENTITS_VIA","D_SUBTIPUS_ACCIDENT","D_SUBTIPUS_TRAM","D_SUBZONA","D_SUPERFICIE","D_TIPUS_VIA","D_TITULARITAT_VIA","D_TRACAT_ALTIMETRIC","D_VENT","grupDiaLab","hor","grupHor","tipAcc","tipDia"
"20679",2021,"Carretera","01/04/2021","LV-4241",29.9,"GUIXERS","Solsones","Lleida",0,1,0,1,2,0,1,0,0,1,0,0,0,60,"No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Senyal velocitat","De dia, dia clar","Senyal Stop o cedeix pas","Doble sentit","Fregament o col·lisió lateral","Intersecció en T o Y","Carretera","Sec i net","Carretera convencional","Provincial","Rampa o pendent","Calma, vent molt suau","Feiners",14.45,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
"20680",2021,"Zona urbana","08/11/2021","N-340a",1087.6,"ALDEA, L'","Baix Ebre","Tarragona",0,1,0,1,2,1,0,0,0,1,0,0,0,50,"No","No n'hi ha","A nivell","Habilitació voral/carril addicional","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","Si","No","No","No","No","En secció","Senyal velocitat","De dia, dia clar",NA,"Doble sentit","Atropellament",NA,"Travessera","Sec i net","Carretera convencional","Municipal","Pla","Calma, vent molt suau","Feiners",17.04,"Tarda","Atropellament","dill-dij"
"20681",2021,"Zona urbana","17/11/2021","SE",999999,"TARRAGONA","Tarragones","Tarragona",0,1,0,1,2,0,0,0,1,1,0,0,0,100,"No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De nit, il·luminació artificial suficient","Senyal Stop o cedeix pas","Doble sentit","Fregament o col·lisió lateral","Giratòria","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,NA,"Calma, vent molt suau","Feiners",18.5,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
"20682",2021,"Zona urbana","06/07/2021","SE",999999,"SABADELL","Valles Occidental","Barcelona",0,1,0,1,3,0,0,1,0,2,0,0,0,100,"No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar",NA,NA,"Altres",NA,"Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,NA,"Calma, vent molt suau","Feiners",21.21,"Tarda","Altres","dill-dij"
"20683",2021,"Zona urbana","22/09/2021","SE",999999,"SANT QUIRZE DEL VALLES","Valles Occidental","Barcelona",1,0,0,1,2,1,0,0,0,1,0,0,0,NA,"No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","Sense especificar","Sense especificar","No","No","Sense especificar","No","No","No","No","Sense especificar","Dintre intersecció","Genérica via","De dia, dia clar","Senyal Stop o cedeix pas","Sense especificar","Atropellament","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,"Sense especificar","Calma, vent molt suau","Feiners",10.15,"Matí","Atropellament","dill-dij"
"20684",2021,"Carretera","08/06/2021","A-2",600,"SANT VICENC DELS HORTS","Baix Llobregat","Barcelona",0,1,0,1,2,0,0,0,1,1,0,0,0,120,"Si","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Senyal velocitat","De dia, dia clar",NA,"Un sol sentit","Fregament o col·lisió lateral",NA,"Carretera","Sec i net","Carretera convencional","Estatal","Pla","Calma, vent molt suau","Feiners",19.08,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
"20685",2021,"Zona urbana","31/10/2021","SE",999999,"SABADELL","Valles Occidental","Barcelona",0,1,1,2,2,0,0,0,1,1,0,0,0,30,"No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Senyal velocitat","De dia, dia clar","Semàfor","Doble sentit","Envestida (frontal lateral)","Intersecció en T o Y","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,NA,"Calma, vent molt suau","CapDeSetmana",11.4,"Matí","Col.lisió de vehicles en marxa","dg"
"20686",2021,"Zona urbana","30/09/2021","SE",999999,"GIRONA","Girones","Girona",0,1,0,1,1,0,0,0,1,0,0,0,0,40,"No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Senyal velocitat","De dia, dia clar",NA,"Doble sentit","Caiguda en la via",NA,"Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,NA,"Calma, vent molt suau","Feiners",12.09,"Matí","Bolcada a la calcada","dill-dij"
"20687",2021,"Carretera","02/07/2021","C-37",68.8,"ODENA","Anoia","Barcelona",0,1,0,1,1,0,0,0,0,1,0,0,0,999,"No","No n'hi ha","Sense Especificar",NA,"No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar",NA,NA,"Resta sortides de via",NA,"Carretera","Sec i net","Carretera convencional","Altres","Sense especificar","Calma, vent molt suau","CapDeSetmana",23.54,"Nit","Sortida de la calcada sense especificar","div"
"20688",2021,"Zona urbana","05/01/2021","SE",999999,"REUS","Baix Camp","Tarragona",0,1,0,1,1,0,1,0,0,0,0,0,0,100,"No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar",NA,NA,"Caiguda en la via",NA,"Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,NA,"Calma, vent molt suau","Feiners",14.1,"Tarda","Bolcada a la calcada","dill-dij"
"20689",2021,"Zona urbana","06/04/2021","SE",999999,"IGUALADA","Anoia","Barcelona",0,1,0,1,1,0,0,0,1,0,0,0,0,50,"No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","Sense especificar","Dintre intersecció","Senyal velocitat","De nit, il·luminació artificial suficient","Senyal Stop o cedeix pas","Doble sentit","Xoc contra objecte/obstacle sense sortida prèvia de via","Giratòria","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,"Sense especificar","Calma, vent molt suau","Feiners",20.3,"Tarda","Col.lisió d'un vehicle contra un obstacle de la calcada","dill-dij"
"20690",2021,"Zona urbana","27/12/2021","SE",999999,"BADALONA","Barcelones","Barcelona",0,1,0,1,2,0,0,0,0,0,2,0,0,NA,"No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Senyal Stop o cedeix pas","Un sol sentit","Envestida (frontal lateral)","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,"Sense especificar","Calma, vent molt suau","Feiners",11.48,"Matí","Col.lisió de vehicles en marxa","dill-dij"
"20691",2021,"Carretera","07/10/2021","C-66",52,"SERINYA","Pla de l'Estany","Girona",0,1,0,1,2,0,1,0,0,1,0,0,0,999,"No","No n'hi ha","Sense Especificar",NA,"No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Senyal Stop o cedeix pas",NA,"Envestida (frontal lateral)","Enllaç d'entrada o eixida","Carretera","Sec i net","Carretera convencional","Altres","Sense especificar","Calma, vent molt suau","Feiners",15.14,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
"20692",2021,"Zona urbana","05/11/2021","SE",999999,"MANRESA","Bages","Barcelona",0,1,1,2,3,2,0,0,0,1,0,0,0,100,"No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","Si","No","No","No","No","Dintre intersecció","Genérica via","De nit, il·luminació artificial suficient","Sols marques viàries (inclou pas vianants)","Un sol sentit","Atropellament","Intersecció en T o Y","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,NA,"Calma, vent molt suau","Feiners",6.3,"Matí","Atropellament","div"
"20693",2021,"Zona urbana","14/04/2021","SE",999999,"VIC","Osona","Barcelona",0,1,0,1,1,0,0,1,0,0,0,0,0,100,"No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De nit, il·luminació artificial suficient",NA,"Doble sentit","Resta sortides de via",NA,"Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,NA,"Calma, vent molt suau","Feiners",22.52,"Nit","Sortida de la calcada sense especificar","dill-dij"
